Release_Date	Polling_Start	Polling_End	NrParticipants	CDU_CSU	SPD	GRÜNE	FDP	LINKE	AFD
03.01.2018	27.12.2018	02.01.2018	1005	32	20	11	9	10	14
04.12.2017	28.11.2017	01.12.2017	1010	32	21	10	10	10	13
19.10.2017	12.10.2017	18.10.2017	1005	31	21	9	12	10	13
21.09.2017	14.09.2017	20.09.2017	1004	37	22	8	9	9	10
07.09.2017	31.08.2017	06.09.2017	1012	38	22	9	10	9	8
16.08.2017	08.08.2017	15.08.2017	1007	40	22	8	9	8	7
06.07.2017	29.06.2017	05.07.2017	1009	39	23	9	9	8	7
01.06.2017	26.05.2017	31.05.2017	1016	39	23	8	10	8	8
04.05.2017	30.04.2017	03.05.2017	1004	36	29	7	7	8	9
23.03.2017	16.03.2017	22.03.2017	1008	34	31	8	6	8	9
09.02.2017	02.02.2017	08.02.2017	1009	33	29	9	6	8	11
05.01.2017	28.12.2017	04.01.2017	1006	36	20	10	7	10	13
03.11.2016	27.10.2016	02.11.2016	1012	33	22	11	7	11	12
13.10.2016	07.10.2016	12.10.2016	1003	34	21	12	7	10	13
15.09.2016	09.09.2016	14.09.2016	1010	33	23	11	7	8	13
14.07.2016	08.07.2016	13.07.2016	1005	34	22	13	7	9	9
02.06.2016	27.05.2016	01.06.2016	1004	32	21	13	7	8	13
21.04.2016	15.04.2016	20.04.2016	1008	35	21	12	7	9	11
17.03.2016	14.03.2016	16.03.2016	1010	36	21	10	7	8	14
18.02.2016	12.02.2016	17.02.2016	1009	37	24	9	5	10	11
04.01.2016	28.12.2016	03.01.2016	1008	39	24	10	5	8	9
19.11.2015	12.11.2015	18.11.2015	1005	39	23	10	4	9	9
08.10.2015	01.10.2015	07.10.2015	1014	40	25	10	5	9	5
17.09.2015	10.09.2015	16.09.2015	1010	42	24	10	4	9	4
27.08.2015	20.08.2015	26.08.2015	1013	42	25	10	5	10	3
23.07.2015	16.07.2015	22.07.2015	1007	42	24	10	5	9	4
25.06.2015	18.06.2015	24.06.2015	1012	42	24	10	5	9	4
15.05.2015	07.05.2015	13.05.2015	1010	41	25	11	4	10	5
16.04.2015	09.04.2015	15.04.2015	1015	42	24	10	5	9	5
24.03.2015	18.03.2015	23.03.2015	1018	42	25	10	5	8	5
24.02.2015	18.02.2015	23.02.2015	1007	42	23	11	4	9	6
20.01.2015	14.01.2015	19.01.2015	1016	42	24	10	3	10	6
16.12.2014	10.12.2014	15.12.2014	1005	42	25	10	2	9	7
25.11.2014	19.11.2014	24.11.2014	1009	42	25	9	3	8	6
21.10.2014	15.10.2014	20.10.2014	1016	41	24	9	3	9	7
23.09.2014	17.09.2014	22.09.2014	1011	41	24	9	3	9	9
19.08.2014	13.08.2014	18.08.2014	1007	41	26	10	3	9	4
22.07.2014	16.07.2014	21.07.2014	1004	40	26	10	4	8	5
24.06.2014	17.06.2014	23.06.2014	1007	39	25	11	4	9	6
13.05.2014	07.05.2014	12.05.2014	1005	41	25	11	4	9	5
16.04.2014	10.04.2014	15.04.2014	1008	41	24	10	4	10	6
18.03.2014	12.03.2014	17.03.2014	1006	41	24	11	4	10	5
25.02.2014	19.02.2014	24.02.2014	1005	41	24	11	4	9	5
21.01.2014	15.01.2014	20.01.2014	1007	42	25	9	4	9	4
10.12.2013	04.12.2013	09.12.2013	1004	43	25	10	3	9	4
19.11.2013	13.11.2013	18.11.2013	1009	41	25	9	4	9	5
15.10.2013	09.10.2013	14.10.2013	1010	42	25	9	3	9	6
10.09.2013	04.09.2013	09.09.2013	1007	40	25	11	5	9	3
20.08.2013	14.08.2013	19.08.2013	1008	41	25	12	6	8	1
16.07.2013	10.07.2013	15.07.2013	1008	41	25	13	5	7	2
18.06.2013	12.06.2013	17.06.2013	1006	41	25	14	5	8	2
16.05.2013	10.05.2013	15.05.2013	1010	40	25	14	4	7	3
16.04.2013	10.04.2013	15.04.2013	1003	42	24	13	6	8	n/a
19.03.2013	13.03.2013	18.03.2013	1007	40	26	16	5	7	n/a
19.02.2013	13.02.2013	18.02.2013	1005	40	27	15	5	6	n/a
29.01.2013	23.01.2013	28.01.2013	1005	42	26	15	5	6	n/a
17.12.2012	11.12.2012	14.12.2012	1006	40	29	14	4	7	n/a
22.11.2012	16.11.2012	21.11.2012	1003	37	26	16	4	8	n/a
25.10.2012	19.10.2012	24.10.2012	1003	38	27	12	4	8	n/a
21.09.2012	14.09.2012	20.09.2012	1004	38	26	13	5	6	n/a
23.08.2012	17.08.2012	22.08.2012	1003	36	28	13	5	6	n/a
24.07.2012	18.07.2012	23.07.2012	1005	35	29	13	4	6	n/a
22.06.2012	18.06.2012	21.06.2012	1004	34	28	13	6	5	n/a
23.05.2012	16.05.2012	22.05.2012	1003	33	27	13	6	6	n/a
23.04.2012	17.04.2012	22.04.2012	1004	35	26	13	5	6	n/a
22.03.2012	16.03.2012	21.03.2012	1004	37	27	14	4	8	n/a
23.02.2012	17.02.2012	22.02.2012	1001	38	26	15	3	7	n/a
26.01.2012	20.01.2012	25.01.2012	1003	36	29	15	3	7	n/a
13.12.2011	07.12.2011	12.12.2011	1004	34	30	15	3	7	n/a
24.11.2011	18.11.2011	23.11.2011	1002	34	28	17	3	8	n/a
24.10.2011	17.10.2011	20.10.2011	1004	33	29	17	4	6	n/a
21.09.2011	15.09.2011	20.09.2011	1003	33	29	20	4	7	n/a
25.08.2011	22.08.2011	24.08.2011	1004	34	27	21	5	7	n/a
21.07.2011	18.07.2011	20.07.2011	1006	32	26	22	5	8	n/a
21.06.2011	15.06.2011	20.06.2011	1003	33	24	23	5	8	n/a
20.05.2011	16.05.2011	19.05.2011	1001	33	24	23	4	9	n/a
19.04.2011	13.04.2011	18.04.2011	1002	33	24	24	5	8	n/a
21.03.2011	15.03.2011	18.03.2011	1003	34	27	20	5	8	n/a
18.02.2011	14.02.2011	17.02.2011	1004	34	26	19	5	10	n/a
24.01.2011	18.01.2011	23.01.2011	1003	34	27	19	5	9	n/a
16.12.2010	10.12.2010	15.12.2010	1000	33	27	20	5	9	n/a
16.11.2010	09.11.2010	15.11.2010	1001	32	26	21	5	10	n/a
27.10.2010	21.10.2010	26.10.2010	1002	32	29	19	5	9	n/a
17.09.2010	13.09.2010	16.09.2010	1001	31	30	17	5	11	n/a
20.08.2010	16.08.2010	19.08.2010	1007	31	31	16	5	10	n/a
21.07.2010	15.07.2010	20.07.2010	1004	32	30	16	5	10	n/a
23.06.2010	17.06.2010	22.06.2010	1002	32	29	17	6	10	n/a
20.05.2010	14.05.2010	19.05.2010	1003	33	28	16	7	10	n/a
22.04.2010	16.04.2010	21.04.2010	1006	35	26	15	9	9	n/a
25.03.2010	19.03.2010	24.03.2010	1005	34	26	15	9	10	n/a
01.03.2010	23.02.2010	27.02.2010	1004	35	25	15	10	9	n/a
19.01.2010	13.01.2010	18.01.2010	1001	35	24	14	11	11	n/a
14.12.2009	08.12.2009	11.12.2009	1002	35	24	13	12	11	n/a
19.11.2009	13.11.2009	18.11.2009	1001	35	21	12	13	13	n/a
23.10.2009	19.10.2009	22.10.2009	1002	35	21	11	14	14	n/a
